OBJECTID,CHITRT0_,CHITRT0_ID,TRACT,STATE,COUNTY,CNTYTRT,POPU,Dist_5_mi,Dist_10_mi,Dist_15_mi,Dist_20_mi,Beta_6,Beta_8,Beta_10,Beta_12,Beta_14,Beta_16,Beta_18,Dist
1022,1023,493,100600,17,31,31100600,4708,2.868551238,4.32654499,4.070474839,3.841684879,3.199236666,3.27694315,3.27013091,3.162324266,2.951510734,2.653532646,2.302620338,0
1023,1024,495,110500,17,31,31110500,8336,2.32994273,4.896484795,4.065739695,3.771807497,3.338534598,3.509295146,3.650572829,3.786893626,3.969542984,4.257755131,4.681934413,0
1024,1025,496,110400,17,31,31110400,4241,3.347813206,4.846951284,4.073193885,3.807799141,3.266115867,3.358377875,3.352742269,3.227857771,2.981213846,2.634356177,2.230848071,0
1025,1026,497,31300,17,31,31031300,7598,3.123697027,3.954924977,3.592230393,3.337783087,3.485526723,3.764179872,3.996795823,4.128319604,4.105970844,3.910417182,3.574175159,0
1026,1027,498,31200,17,31,31031200,6190,3.386506173,4.192604586,3.597025576,3.353730899,3.748233614,4.385108383,5.316697757,6.658831563,8.479826988,10.74981296,13.34094038,0
1027,1028,499,31100,17,31,31031100,5065,3.452196119,4.192604586,3.597025576,3.360904998,3.736228268,4.320232561,5.123199537,6.207152714,7.586026083,9.19955121,10.93028069,0
1028,1029,500,31000,17,31,31031000,4358,3.59239738,4.192604586,3.676543468,3.39388543,3.561528329,3.868771568,4.123880137,4.263997326,4.229285745,3.998096617,3.608555517,0
1029,1030,501,40400,17,31,31040400,8504,3.59239738,4.299276288,3.676543468,3.505001444,3.504818857,3.736677429,3.867965311,3.834587916,3.593201128,3.154626363,2.593687123,0
1030,1031,502,140300,17,31,31140300,8335,3.752050771,4.643706588,3.925676094,3.662174059,3.403716884,3.556434415,3.596049946,3.478664058,3.183209158,2.731360548,2.192376971,0
1031,1032,503,140400,17,31,31140400,6425,3.879284333,4.894764209,4.132651924,3.662530082,3.350763217,3.471193845,3.47734368,3.335356538,3.036210227,2.608414742,2.115819871,0
1032,1033,504,100700,17,31,31100700,4811,2.747814381,4.389296472,4.070474839,3.846958298,3.20443622,3.273303993,3.248622558,3.112768881,2.864860521,2.524886346,2.133366386,0
1033,1034,505,770900,17,31,31770900,8385,2.602036752,4.463151198,4.204052232,3.901544615,3.14153182,3.200047308,3.183294213,3.081785823,2.897117733,2.640674157,2.333915188,0
1034,1035,507,140200,17,31,31140200,6827,3.887698562,4.790935764,3.7528718,3.613240496,3.488206385,3.719205143,3.875318463,3.908377679,3.771847616,3.442471022,2.949516639,0
